id,name,area,address,lat,lng,tags
tokyo_001,らーめん 飛粋 蒲田本店,蒲田,東京都大田区蒲田5-2-5,35.5616,139.716,家系|人気|濃厚
tokyo_002,らーめん 飛粋 武蔵新田店,武蔵新田,東京都大田区矢口1-16-24,35.5673,139.6923,家系|人気|濃厚
tokyo_003,皇綱家,池袋,東京都豊島区西池袋1-40-1,35.7313,139.709,家系|行列店|濃厚
tokyo_004,まこと家,青物横丁,東京都品川区南品川3-1-10,35.6097,139.7427,家系|老舗|人気
tokyo_005,ラーメン 三浦家,金町,東京都葛飾区東金町1-39-1,35.7702,139.87,家系|人気|濃厚
tokyo_006,野中家,大塚,東京都豊島区北大塚2-14-8,35.7328,139.7288,家系|新鋭|行列
tokyo_007,武道家 早稲田本店,早稲田,東京都新宿区馬場下町62,35.7058,139.7204,家系|超濃厚|有名店
tokyo_008,二代目武道家,中野,東京都中野区中野3-34-32,35.7063,139.6647,家系|超濃厚|人気
tokyo_009,武道家 龍,成城学園前,東京都世田谷区成城6-12-8,35.6406,139.5992,家系|濃厚|人気
tokyo_010,武道家 口,国分寺,東京都国分寺市本町2-2-15,35.7018,139.4803,家系|学生人気|濃厚
tokyo_011,武蔵家 中野本店,中野,東京都中野区中野5-63-1,35.7088,139.665,家系|老舗|人気
tokyo_012,武蔵家 明大前店,明大前,東京都世田谷区松原2-46-6,35.6694,139.6502,家系|学生人気|駅近
tokyo_013,武蔵家 大井町店,大井町,東京都品川区東大井5-4-10,35.6062,139.7342,家系|濃厚|人気
tokyo_014,武蔵家 御茶ノ水店,御茶ノ水,東京都千代田区神田駿河台2-4,35.6993,139.7648,家系|学生人気|駅近
tokyo_015,輝道家 野方本店,野方,東京都中野区野方5-24-6,35.7198,139.652,家系|有名店|濃厚
tokyo_016,輝道家 水道橋店,水道橋,東京都千代田区神田三崎町2-21-10,35.7021,139.7533,家系|濃厚|駅近
tokyo_017,洞くつ家 吉祥寺店,吉祥寺,東京都武蔵野市吉祥寺本町1-4-1,35.7031,139.579,家系|老舗|人気
tokyo_018,麺家 黒,目黒,東京都品川区上大崎2-13-45,35.634,139.7157,家系|会社員人気|濃厚
tokyo_019,麺家 龍〜Ryo〜,荻窪,東京都杉並区上荻1-4-10,35.7048,139.62,家系|新鋭|人気
tokyo_020,豚骨 蒼翔,西荻窪,東京都杉並区西荻南3-10-8,35.703,139.5998,家系|濃厚|人気
tokyo_021,麺家たいせい,八王子,東京都八王子市東町1-18,35.6589,139.3399,家系|人気|駅近
tokyo_022,ラーメン 環2家 蒲田店,蒲田,東京都大田区西蒲田7-1-10,35.562,139.7149,家系|吉村家系統|濃厚
tokyo_023,こいけのいえけい,巣鴨,東京都豊島区巣鴨1-18-8,35.7337,139.7393,家系|個性派|人気
tokyo_024,谷瀬家 新橋本店,新橋,東京都港区西新橋1-5-9,35.6661,139.7547,家系|人気|会社員人気
tokyo_025,王道乃印 新橋店,新橋,東京都港区新橋1-16-8,35.6655,139.7583,家系|王道家系|人気
tokyo_026,横横家,八王子,東京都八王子市横山町7-5,35.6577,139.3384,家系|老舗|濃厚
